"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 05, 2017","163.54","163.51","163.74","162.81","1.02M","0.21%"
"Jan 04, 2017","163.19","163.46","163.62","163.10","655.36K","-0.01%"
"Jan 03, 2017","163.21","164.39","164.52","162.99","833.03K","-0.77%"
"Jan 02, 2017","164.47","164.07","164.94","164.07","122.96K","0.19%"
"Dec 30, 2016","164.15","164.55","164.56","164.09","295.63K","-0.27%"
"Dec 29, 2016","164.60","164.44","164.65","164.27","262.95K","0.34%"
"Dec 28, 2016","164.05","164.18","164.33","163.89","230.21K","-0.06%"
"Dec 27, 2016","164.15","163.55","164.18","163.55","148.15K","0.30%"
"Dec 23, 2016","163.66","163.23","163.79","163.17","167.04K","0.30%"
"Dec 22, 2016","163.17","163.33","163.45","162.88","316.79K","-0.07%"
"Dec 21, 2016","163.28","163.13","163.36","163.01","335.95K","0.15%"
"Dec 20, 2016","163.04","163.20","163.29","162.84","420.58K","-0.07%"
"Dec 19, 2016","163.15","162.12","163.52","162.04","506.86K","0.59%"
"Dec 16, 2016","162.19","161.91","162.58","161.82","539.51K","0.38%"
"Dec 15, 2016","161.58","161.80","162.03","161.19","765.36K","-0.54%"
"Dec 14, 2016","162.46","161.94","162.62","161.69","644.08K","0.46%"
"Dec 13, 2016","161.71","161.37","161.95","161.08","637.78K","0.41%"
"Dec 12, 2016","161.05","161.38","161.40","160.80","675.07K","-0.50%"
"Dec 09, 2016","161.86","161.10","162.29","161.00","835.10K","1.07%"
"Dec 08, 2016","160.15","160.32","160.47","159.99","14.32K","-0.11%"
"Dec 07, 2016","160.32","159.74","160.51","159.70","320.39K","0.17%"
"Dec 06, 2016","160.05","160.49","160.73","159.82","1.33M","-0.25%"
"Dec 05, 2016","160.45","161.45","161.45","159.86","1.47M","-0.34%"
"Dec 02, 2016","161.00","159.96","161.13","159.81","1.08M","0.46%"
"Dec 01, 2016","160.26","160.77","160.97","159.54","1.33M","-0.50%"
"Nov 30, 2016","161.06","161.87","162.01","160.80","1.17M","-0.27%"
"Nov 29, 2016","161.50","161.98","162.01","161.33","916.09K","-0.32%"
"Nov 28, 2016","162.02","161.73","162.08","161.48","698.97K","0.41%"
"Nov 25, 2016","161.36","161.09","161.59","161.03","612.70K","0.22%"
"Nov 24, 2016","161.01","161.09","161.40","160.88","430.57K","0.16%"
"Nov 23, 2016","160.76","161.31","161.72","160.31","1.26M","-0.40%"
"Nov 22, 2016","161.40","160.75","161.58","160.70","741.26K","0.38%"
"Nov 21, 2016","160.79","160.95","160.97","160.50","521.87K","0.04%"
"Nov 18, 2016","160.73","160.16","161.09","159.98","889.64K","-0.02%"
"Nov 17, 2016","160.77","160.58","160.96","160.35","797.00K","0.28%"
"Nov 16, 2016","160.32","160.32","160.59","159.82","781.33K","-0.06%"
"Nov 15, 2016","160.41","160.21","160.63","160.15","882.93K","0.32%"
"Nov 14, 2016","159.90","159.72","160.38","159.14","1.16M","-0.23%"
"Nov 11, 2016","160.27","160.62","160.62","159.77","756.36K","-0.23%"
"Nov 10, 2016","160.64","161.22","161.54","160.08","1.39M","-0.85%"
"Nov 09, 2016","162.01","162.66","163.19","160.89","1.20M","0.06%"
"Nov 08, 2016","161.92","162.24","162.45","161.69","564.41K","-0.23%"
"Nov 07, 2016","162.29","162.00","162.37","161.94","455.19K","-0.13%"
"Nov 04, 2016","162.50","162.10","162.62","162.10","596.88K","0.25%"
"Nov 03, 2016","162.10","162.57","162.70","161.93","792.86K","-0.29%"
"Nov 02, 2016","162.57","162.31","162.78","162.18","837.66K","0.45%"
"Nov 01, 2016","161.84","161.94","162.36","161.53","751.51K","-0.20%"
"Oct 31, 2016","162.17","162.08","162.32","161.95","666.43K","0.06%"
"Oct 28, 2016","162.08","161.85","162.28","161.37","908.46K","0.07%"
"Oct 27, 2016","161.97","163.02","163.19","161.72","1.17M","-0.66%"
"Oct 26, 2016","163.04","163.90","164.06","162.89","995.46K","-0.60%"
"Oct 25, 2016","164.02","163.88","164.16","163.71","658.47K","0.04%"
"Oct 24, 2016","163.96","164.40","164.54","163.86","607.31K","-0.16%"
"Oct 21, 2016","164.22","164.28","164.34","164.04","555.70K","-0.04%"
"Oct 20, 2016","164.29","163.68","164.33","163.24","840.42K","0.29%"
"Oct 19, 2016","163.82","163.74","164.04","163.71","599.57K","0.05%"
"Oct 18, 2016","163.74","163.42","163.81","163.30","597.52K","0.17%"
"Oct 17, 2016","163.47","163.31","163.57","162.81","685.57K","0.01%"
